State,Available percentage
Andhra Pradesh,144.5813
Arunachal Pradesh,94.8454
Assam,165.9915
Chhattisgarh,57.22
Goa,215.7895
Gujarat,69.2787
Haryana,119.3694
Himachal Pradesh,99.5585
Jammu & Kashmir,221.9144
Jharkhand,118.7879
Kerala,138.6897
Madhya Pradesh,70.4152
Maharashtra,126.6998
Manipur,240
Meghalaya,95.4128
Mizoram,64.9123
Nagaland,80.1587
Odisha,42.7524
Punjab,109.1928
Rajasthan,97.0336
Sikkim,162.5
Tamil Nadu,141.5282
Tripura,150.6329
Uttarakhand,97.9079
Uttar Pradesh,77.4919
West Bengal,110.6711
A& N Islands,147.3684
Chandigarh,\N
D & N Haveli,100
Daman & Diu,166.6667
Delhi,237.5
Lakshadweep,250
Puducherry,154.1667
Bihar,189.5867
Karnataka,90.4329
